ریسپی_آئی_ڈی,قدم_نمبر,ہدایت,تخمینہ_وقت_منٹ
RCP۰۰۰۰۶,۱,بھنڈی چکن کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۰۶,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۶,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۶,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور بھنڈی چکن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۰۶,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۰۷,۱,چکن شملہ مرچ کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۰۷,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۷,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۷,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن شملہ مرچ کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۰۷,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۰۸,۱,چکن گوبھی کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۰۸,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۸,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۸,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن گوبھی کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۰۸,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۰۹,۱,چکن بند گوبھی کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۰۹,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۹,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۹,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن بند گوبھی کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۰۹,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۱۰,۱,چکن گاجر کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۱۰,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۰,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۰,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن گاجر کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۱۰,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۱۱,۱,چکن کارن سالن کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۱۱,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۱,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۱,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن کارن سالن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۱۱,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۱۲,۱,چکن آلو پالک کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۱۲,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۲,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۲,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن آلو پالک کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۱۲,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۱۳,۱,چکن سبزی سالن کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۱۳,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۳,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۳,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن سبزی سالن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۱۳,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۱۴,۱,دہی چکن کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۱۴,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۴,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۴,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور دہی چکن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۱۴,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۱۵,۱,چکن وائٹ کڑاہی کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۱۵,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۵,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۵,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن وائٹ کڑاہی کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۱۵,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۱۶,۱,دال تڑکا کے لیے دال/چنے اور اجزاء تیار کر کے بھگو دیں۔,۵
RCP۰۰۰۱۶,۲,درمیانی آنچ پر پین یا پتیلی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۶,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۶,۴,پکی ہوئی دال/چنے، ٹماٹر اور پسا ہوا مصالحہ شامل کریں، اور دال تڑکا کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۱۶,۵,ہلکی آنچ پر دم دیں، لہسن کے تڑکے کا چھونک لگائیں، دھنیا چھڑک کر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۱۷,۱,دال پالک کے لیے دال/چنے اور اجزاء تیار کر کے بھگو دیں۔,۵
RCP۰۰۰۱۷,۲,درمیانی آنچ پر پین یا پتیلی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۷,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۷,۴,پکی ہوئی دال/چنے، ٹماٹر اور پسا ہوا مصالحہ شامل کریں، اور دال پالک کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۱۷,۵,ہلکی آنچ پر دم دیں، لہسن کے تڑکے کا چھونک لگائیں، دھنیا چھڑک کر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۱۸,۱,چنا دال کے لیے دال/چنے اور اجزاء تیار کر کے بھگو دیں۔,۵
RCP۰۰۰۱۸,۲,درمیانی آنچ پر پین یا پتیلی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۸,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۸,۴,پکی ہوئی دال/چنے، ٹماٹر اور پسا ہوا مصالحہ شامل کریں، اور چنا دال کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۱۸,۵,ہلکی آنچ پر دم دیں، لہسن کے تڑکے کا چھونک لگائیں، دھنیا چھڑک کر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۱۹,۱,چنا مصالحہ کے لیے دال/چنے اور اجزاء تیار کر کے بھگو دیں۔,۵
RCP۰۰۰۱۹,۲,درمیانی آنچ پر پین یا پتیلی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۱۹,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۱۹,۴,پکی ہوئی دال/چنے، ٹماٹر اور پسا ہوا مصالحہ شامل کریں، اور چنا مصالحہ کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۱۹,۵,ہلکی آنچ پر دم دیں، لہسن کے تڑکے کا چھونک لگائیں، دھنیا چھڑک کر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۲۰,۱,پالک چنے کے لیے دال/چنے اور اجزاء تیار کر کے بھگو دیں۔,۵
RCP۰۰۰۲۰,۲,درمیانی آنچ پر پین یا پتیلی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۰,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۰,۴,پکی ہوئی دال/چنے، ٹماٹر اور پسا ہوا مصالحہ شامل کریں، اور پالک چنے کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۲۰,۵,ہلکی آنچ پر دم دیں، لہسن کے تڑکے کا چھونک لگائیں، دھنیا چھڑک کر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۲۱,۱,آلو چنے کے لیے دال/چنے اور اجزاء تیار کر کے بھگو دیں۔,۵
RCP۰۰۰۲۱,۲,درمیانی آنچ پر پین یا پتیلی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۱,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۱,۴,پکی ہوئی دال/چنے، ٹماٹر اور پسا ہوا مصالحہ شامل کریں، اور آلو چنے کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۲۱,۵,ہلکی آنچ پر دم دیں، لہسن کے تڑکے کا چھونک لگائیں، دھنیا چھڑک کر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۲۲,۱,چنے پالک سالن کے لیے دال/چنے اور اجزاء تیار کر کے بھگو دیں۔,۵
RCP۰۰۰۲۲,۲,درمیانی آنچ پر پین یا پتیلی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۲,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۲,۴,پکی ہوئی دال/چنے، ٹماٹر اور پسا ہوا مصالحہ شامل کریں، اور چنے پالک سالن کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۲۲,۵,ہلکی آنچ پر دم دیں، لہسن کے تڑکے کا چھونک لگائیں، دھنیا چھڑک کر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۲۳,۱,دال چاول کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۲۳,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۳,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۳,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے دال چاول کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۲۳,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۲۴,۱,چنا چاول کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۲۴,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۴,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۴,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے چنا چاول کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۲۴,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۲۵,۱,آلو بھنڈی کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۲۵,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۵,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۵,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور آلو بھنڈی کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۲۵,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۲۶,۱,بھنڈی مصالحہ کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۲۶,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۶,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۶,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور بھنڈی مصالحہ کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۲۶,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۲۷,۱,آلو پالک کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۲۷,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۷,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۷,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور آلو پالک کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۲۷,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۲۸,۱,پالک سالن کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۲۸,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۸,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۸,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور پالک سالن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۲۸,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۲۹,۱,گوبھی آلو کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۲۹,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۲۹,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۲۹,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور گوبھی آلو کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۲۹,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۰,۱,گوبھی مصالحہ کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۰,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۰,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۰,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور گوبھی مصالحہ کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۰,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۱,۱,بند گوبھی مصالحہ کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۱,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۱,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۱,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور بند گوبھی مصالحہ کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۱,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۲,۱,بند گوبھی آلو کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۲,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۲,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۲,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور بند گوبھی آلو کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۲,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۳,۱,مکس سبزی سالن کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۳,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۳,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۳,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور مکس سبزی سالن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۳,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۴,۱,گاجر آلو کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۴,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۴,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۳۴,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور گاجر آلو کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۳۴,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۳۵,۱,شملہ مرچ آلو کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۳۵,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۳۵,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
