رسیپی_آئی_ڈی,قدم_نمبر,ہدایت
RCP00015,3,سبزیاں شامل کریں اور پکائیں
RCP00015,4,پکے ہوئے چاول شامل کریں
RCP00015,5,ہلکے ہاتھ سے مکس کریں
RCP00015,6,5 منٹ پکائیں اور پیش کریں
RCP00016,1,بھنڈی کو ہلکا کرسپی ہونے تک تلیں
RCP00016,2,آدھی پیاز تل لیں
RCP00016,3,ادرک لہسن، ٹماٹر اور مصالحے شامل کریں
RCP00016,4,دہی شامل کریں اور تیل الگ ہونے تک پکائیں
RCP00016,5,بھنڈی اور باقی پیاز شامل کریں
RCP00016,6,5 منٹ تک پکائیں
RCP00017,1,بھنڈی کو اچھی طرح دھو کر خشک کر لیں
RCP00017,2,باریک ٹکڑوں میں کاٹ لیں
RCP00017,3,بیسن/آٹے اور مصالحوں کے ساتھ مکس کریں
RCP00017,4,کرسپی ہونے تک گہرے تیل میں تلیں
RCP00017,5,چاٹ مصالحہ چھڑک کر پیش کریں
RCP00018,1,آلوؤں کو ہلکا سا تل لیں
RCP00018,2,پیاز اور ادرک لہسن شامل کریں
RCP00018,3,ٹماٹر اور مصالحے شامل کریں
RCP00018,4,گوبھی اور آلو شامل کریں
RCP00018,5,ڈھانپ کر گلنے تک پکائیں
RCP00018,6,ہرے دھنیے سے سجا لیں
RCP00019,1,پیاز تل لیں
RCP00019,2,ادرک لہسن اور ٹماٹر شامل کریں
RCP00019,3,مصالحے شامل کریں
RCP00019,4,سبزیاں شامل کریں
RCP00019,5,تھوڑا سا پانی شامل کریں اور ڈھانپ دیں
RCP00019,6,سبزیاں گلنے تک پکائیں لیکن زیادہ نرم نہ ہوں
RCP00020,1,تیل میں زیرہ بھون لیں
RCP00020,2,آلو شامل کریں اور ہلکا سنہری ہونے تک پکائیں
RCP00020,3,پیاز اور ٹماٹر شامل کریں
RCP00020,4,مصالحے شامل کریں
RCP00020,5,شملہ مرچ شامل کریں
RCP00020,6,سبزیاں گلنے تک پکائیں
RCP00021,1,پیاز اور ادرک لہسن تل لیں
RCP00021,2,ٹماٹر اور مصالحے شامل کریں
RCP00021,3,گاجر اور مٹر شامل کریں
RCP00021,4,تھوڑا سا پانی شامل کریں
RCP00021,5,ڈھانپ کر گلنے تک پکائیں
RCP00021,6,ہرے دھنیے سے سجا لیں
RCP00022,1,سبزیوں کو ہلکا سا فرائی کریں
RCP00022,2,ٹماٹر اور مصالحے کی گریوی تیار کریں
RCP00022,3,دہی شامل کریں اور تیل الگ ہونے تک پکائیں
RCP00022,4,سبزیاں شامل کریں
RCP00022,5,کریم شامل کریں
RCP00022,6,5 سے 7 منٹ ہلکی آنچ پر پکائیں
RCP00023,1,دال 1 گھنٹے کے لیے بھگو دیں
RCP00023,2,گلنے تک ابالیں
RCP00023,3,پیاز، زیرہ اور ادرک لہسن تل لیں
RCP00023,4,ٹماٹر اور مصالحے شامل کریں
RCP00023,5,پکی ہوئی دال شامل کریں
RCP00023,6,10 منٹ کے لیے ہلکی آنچ پر پکائیں
RCP00023,7,تڑکا لگا کر پیش کریں
RCP00024,1,دال دھو کر بھگو دیں
RCP00024,2,نرم ہونے تک ابالیں
RCP00024,3,پیاز، ٹماٹر اور مصالحے کا مسالا تیار کریں
RCP00024,4,دال شامل کریں
RCP00024,5,10 منٹ کے لیے ہلکی آنچ پر پکائیں
RCP00024,6,تلا ہوا لہسن اور زیرے کا تڑکا لگائیں
RCP00025,1,مونگ کی دال دھو کر ابال لیں
RCP00025,2,پیاز کو زیرے کے ساتھ تلیں
RCP00025,3,ادرک لہسن اور ٹماٹر شامل کریں
RCP00025,4,مصالحے شامل کریں
RCP00025,5,ابلی ہوئی دال شامل کریں
RCP00025,6,10 منٹ کے لیے ہلکی آنچ پر پکائیں
RCP00025,7,ہرا دھنیا شامل کریں اور پیش کریں
RCP00026,1,دال کو ہلدی اور نمک کے ساتھ ابالیں
RCP00026,2,پیاز اور ٹماٹر کا مسالا تیار کریں
RCP00026,3,ابلی ہوئی دال شامل کریں
RCP00026,4,10 منٹ کے لیے ہلکی آنچ پر پکائیں
RCP00026,5,تیل اور مکھن گرم کریں
RCP00026,6,لہسن، زیرہ اور لال مرچ بھون لیں
RCP00026,7,دال پر تڑکا لگائیں
RCP00027,1,مونگ کی دال نرم ہونے تک ابالیں
RCP00027,2,پیاز اور ادرک لہسن تل لیں
RCP00027,3,ٹماٹر اور مصالحے شامل کریں
RCP00027,4,پالک شامل کریں اور نرم ہونے تک پکائیں
RCP00027,5,ابلی ہوئی دال شامل کریں
RCP00027,6,10 منٹ کے لیے ہلکی آنچ پر پکائیں
RCP00028,1,چنے رات بھر کے لیے بھگو دیں
RCP00028,2,گلنے تک ابالیں
RCP00028,3,پیاز اور ادرک لہسن تل لیں
RCP00028,4,ٹماٹر اور مصالحے شامل کریں
RCP00028,5,چنے شامل کریں
RCP00028,6,پانی شامل کریں اور 15 منٹ ہلکی آنچ پر پکائیں
RCP00029,1,چنے اور آلو ابال لیں
RCP00029,2,پیاز، ٹماٹر اور مصالحے کا مسالا تیار کریں
RCP00029,3,چنے اور آلو شامل کریں
RCP00029,4,پانی شامل کریں
RCP00029,5,گاڑھا ہونے تک ہلکی آنچ پر پکائیں
RCP00029,6,ہرے دھنیے سے سجا لیں
RCP00030,1,پیاز سنہری ہونے تک تلیں
RCP00030,2,ثابت گرم مصالحے اور ادرک لہسن شامل کریں
RCP00030,3,ابلے ہوئے چنے شامل کریں
RCP00030,4,بھیگے ہوئے چاول شامل کریں
RCP00030,5,پانی اور نمک شامل کریں
RCP00030,6,چاول گلنے تک پکائیں
RCP00030,7,10 منٹ کے لیے دم دیں
RCP00031,1,پیاز اور ادرک لہسن تل لیں
RCP00031,2,ٹماٹر اور مصالحے شامل کریں
RCP00031,3,دہی شامل کریں
RCP00031,4,تیل الگ ہونے تک پکائیں
RCP00031,5,ابلے ہوئے چنے شامل کریں
RCP00031,6,پانی شامل کریں اور 15 منٹ ہلکی آنچ پر پکائیں
RCP00032,1,انڈے ابال کر چھیل لیں
RCP00032,2,انڈوں کو ہلکا سا تل لیں
RCP00032,3,پیاز اور ٹماٹر کا مسالا تیار کریں
RCP00032,4,مصالحے شامل کریں
RCP00032,5,انڈے اور تھوڑا سا پانی شامل کریں
RCP00032,6,8 منٹ ہلکی آنچ پر پکائیں
RCP00033,1,پیاز اور شملہ مرچ تل لیں
RCP00033,2,ٹماٹر اور مصالحے شامل کریں
RCP00033,3,انڈے الگ سے پھینٹ لیں
RCP00033,4,پھینٹے ہوئے انڈے مسالے میں ڈالیں
RCP00033,5,پکنے تک ہلکے ہاتھ سے چمچ چلائیں
RCP00033,6,ہری مرچ سے سجا لیں
RCP00034,1,انڈوں کو نمک اور کالی مرچ کے ساتھ پھینٹ لیں
RCP00034,2,کٹی ہوئی پیاز، ٹماٹر، مرچ اور ہرا دھنیا شامل کریں
RCP00034,3,تیل گرم کریں
RCP00034,4,انڈے کا آمیزہ پین میں ڈالیں
RCP00034,5,دونوں طرف سے سنہری ہونے تک پکائیں
RCP00034,6,گرم گرم پیش کریں
RCP00035,1,پیاز اور شملہ مرچ تل لیں
RCP00035,2,لہسن اور ٹماٹر شامل کریں
RCP00035,3,مصالحے شامل کریں اور گاڑھا ہونے تک پکائیں
RCP00035,4,ساس میں چھوٹے خانے/جگہیں بنائیں
RCP00035,5,ان جگہوں میں انڈے توڑ کر ڈالیں
RCP00035,6,ڈھانپ کر انڈے جمنے/پکنے تک پکائیں
RCP00036,1,آلو ابال کر مکعب ٹکڑوں میں کاٹ لیں
RCP00036,2,تیل گرم کریں اور زیرہ بھون لیں
RCP00036,3,آلو اور مصالحے شامل کریں
RCP00036,4,سنہری ہونے تک پکائیں
RCP00036,5,ہری مرچ اور ہرا دھنیا شامل کریں
RCP00037,1,پیاز اور ادرک لہسن تل لیں
RCP00037,2,ٹماٹر اور مصالحے شامل کریں
RCP00037,3,تیل الگ ہونے تک پکائیں
RCP00037,4,ابلے ہوئے آلو شامل کریں
RCP00037,5,پانی شامل کریں اور ہلکی آنچ پر پکائیں
RCP00037,6,گاڑھا ہونے تک پکائیں
RCP00038,1,پالک کو ابال کر باریک کاٹ لیں
RCP00038,2,پیاز اور ادرک لہسن تل لیں
RCP00038,3,ٹماٹر اور مصالحے شامل کریں
RCP00038,4,آلو شامل کریں
RCP00038,5,پالک شامل کریں
RCP00038,6,ڈھانپ کر آلو گلنے تک پکائیں
RCP00039,1,آلوؤں کو لمبائی کی قاشوں میں کاٹ لیں
RCP00039,2,5 منٹ ابال کر پانی نچوڑ لیں
RCP00039,3,کارن فلور اور مصالحوں کی کوٹنگ کریں
RCP00039,4,کرسپی ہونے تک گہرے تیل میں تلیں
RCP00039,5,پیش کرنے سے پہلے چاٹ مصالحہ چھڑکیں
RCP00040,1,پیاز اور شملہ مرچ تل لیں
RCP00040,2,ادرک لہسن اور ٹماٹر شامل کریں
RCP00040,3,مصالحے شامل کریں
RCP00040,4,مکئی کے دانے شامل کریں
RCP00040,5,8 سے 10 منٹ تک پکائیں
RCP00040,6,ہرے دھنیے سے سجا لیں
RCP00041,1,پیاز اور زیرہ تل لیں
RCP00041,2,ثابت مصالحے اور مکئی شامل کریں
RCP00041,3,بھیگے ہوئے چاول شامل کریں
RCP00041,4,پانی اور نمک شامل کریں
RCP00041,5,چاول گلنے تک پکائیں
RCP00041,6,10 منٹ کے لیے دم دیں
RCP00042,1,پیاز کو مکھن میں تل لیں
RCP00042,2,ادرک لہسن اور ٹماٹر شامل کریں
RCP00042,3,مکئی اور مصالحے شامل کریں
RCP00042,4,دہی شامل کریں اور ہلکی آنچ پر پکائیں
RCP00042,5,کریم شامل کریں
RCP00042,6,5 منٹ ہلکی آنچ پر پکائیں
RCP00043,1,پیاز کو سنہری ہونے تک تلیں
RCP00043,2,ادرک لہسن اور مرغی شامل کریں
RCP00043,3,مصالحے شامل کریں
RCP00043,4,آہستہ آہستہ دہی شامل کریں
RCP00043,5,مرغی گلنے تک پکائیں
RCP00043,6,گرم مصالحہ ڈال کر تیار کریں
RCP00044,1,آلو ابال کر مکعب ٹکڑوں میں کاٹ لیں
RCP00044,2,تیل گرم کریں اور زیرہ بھون لیں
RCP00044,3,ٹماٹر اور مصالحے شامل کریں
RCP00044,4,مسلسل چمچ چلاتے ہوئے دہی شامل کریں
RCP00044,5,آلو شامل کریں
RCP00044,6,8 منٹ ہلکی آنچ پر پکائیں
RCP00045,1,دہی اور بیسن کو پانی کے ساتھ پھینٹ لیں
RCP00045,2,ہلدی اور نمک شامل کریں
RCP00045,3,چمچ چلاتے ہوئے درمیانی آنچ پر پکائیں
RCP00045,4,پیاز، ٹماٹر اور مصالحے کا تڑکا تیار کریں
RCP00045,5,تڑکا کڑھی میں ڈالیں
RCP00045,6,20 منٹ ہلکی آنچ پر پکائیں
RCP00045,7,
RCP00046,1,پالک ابال کر بلینڈ کر لیں
RCP00046,2,پیاز اور ادرک لہسن تل لیں
RCP00046,3,مرغی شامل کریں اور پکائیں
RCP00046,4,ٹماٹر اور مصالحے شامل کریں
RCP00046,5,پالک کی پیوری شامل کریں
RCP00046,6,مرغی مکمل گلنے تک ہلکی آنچ پر پکائیں
RCP00047,1,پالک ابال کر بلینڈ کر لیں
RCP00047,2,پنیر کے ٹکڑوں کو ہلکا سا فرائی کریں
RCP00047,3,پیاز اور ادرک لہسن تل لیں
RCP00047,4,ٹماٹر شامل کریں اور پکائیں
RCP00047,5,پالک کی پیوری شامل کریں
RCP00047,6,پنیر اور کریم شامل کریں
RCP00047,7,5 منٹ ہلکی آنچ پر پکائیں
RCP00048,1,دال گلنے تک ابالیں
RCP00048,2,پیاز، لہسن اور ٹماٹر تل لیں
RCP00048,3,مصالحے شامل کریں
RCP00048,4,پالک شامل کریں اور پکائیں
RCP00048,5,ابلی ہوئی دال شامل کریں
RCP00048,6,10 منٹ کے لیے ہلکی آنچ پر پکائیں
RCP00049,1,آٹا اور پانی ملا کر نرم پیڑا/آٹا گوندھ لیں
RCP00049,2,آلو ابال کر میش کر لیں
RCP00049,3,آلوؤں میں مصالحے اور ہرا دھنیا مکس کریں
RCP00049,4,آٹے میں آلو کی فلنگ کریں
RCP00049,5,پراٹھا بیل لیں
RCP00049,6,گرم توے پر گھی یا تیل کے ساتھ پکائیں
RCP00049,7,دونوں طرف سے سنہری ہونے تک پکائیں
RCP00050,1,آٹے سے نرم پیڑا/آٹا تیار کریں
RCP00050,2,پکی ہوئی مرغی کے ریشے کر لیں
RCP00050,3,مرغی کو پیاز، ہری مرچ اور مصالحوں کے ساتھ مکس کریں
RCP00050,4,آٹے میں مرغی کا آمیزہ بھریں
RCP00050,5,پراٹھا بیل لیں
RCP00050,6,توے پر تیل کے ساتھ سنہری ہونے تک پکائیں
RCP00051,1,پیاز اور ادرک لہسن تل لیں
RCP00051,2,ٹماٹر اور مصالحے شامل کریں
RCP00051,3,گاجر اور مٹر شامل کریں
RCP00051,4,تھوڑا سا پانی شامل کریں
RCP00051,5,ڈھانپ کر گلنے تک پکائیں
RCP00051,6,ہرے دھنیے سے سجا لیں
RCP00052,1,تیل گرم کریں اور زیرہ بھون لیں
RCP00052,2,پیاز شامل کریں اور نرم ہونے تک پکائیں
RCP00052,3,ٹماٹر اور مصالحے شامل کریں
RCP00052,4,کٹی ہوئی گاجریں شامل کریں
RCP00052,5,ڈھانپ کر گلنے تک پکائیں
RCP00052,6,ہرے دھنیے سے سجا لیں
RCP00053,1,مرغی ابال کر ریشے کر لیں
RCP00053,2,مرغی کی یخنی گرم کریں
RCP00053,3,مرغی اور مکئی شامل کریں
RCP00053,4,سویا ساس، سرکہ اور کالی مرچ شامل کریں
RCP00053,5,کارن فلور کو پانی میں گھول کر آہستہ آہستہ شامل کریں
RCP00053,6,انڈا پھینٹ کر چمچ چلاتے ہوئے آہستہ آہستہ سوپ میں ڈالیں
RCP00053,7,2 سے 3 منٹ پکائیں اور گرم گرم پیش کریں
RCP00054,1,مرغی کی یخنی گرم کریں
RCP00054,2,ریشہ کی ہوئی مرغی اور سبزیاں شامل کریں
RCP00054,3,سویا ساس، سرکہ اور چلی ساس شامل کریں
RCP00054,4,کالی مرچ اور نمک شامل کریں
RCP00054,5,کارن فلور کا گھول شامل کریں
RCP00054,6,ہلکا گاڑھا ہونے تک ہلکی آنچ پر پکائیں
RCP00054,7,گرم گرم پیش کریں
RCP00055,1,پتیلی میں مرغی، پانی، پیاز، ادرک اور لہسن ڈالیں
RCP00055,2,کالی مرچ اور نمک شامل کریں
RCP00055,3,45 سے 60 منٹ تک ہلکی آنچ پر پکائیں
RCP00055,4,مرغی نکال کر ریشے کر لیں
RCP00055,5,یخنی کو چھان لیں
RCP00055,6,مرغی کو دوبارہ یخنی میں ڈال دیں
RCP00055,7,گاجر شامل کریں اور گلنے تک پکائیں
RCP00055,8,ہرے دھنیے سے سجا لیں
RCP00056,1,دال دھو لیں
RCP00056,2,پتیلی میں دال، سبزیاں، لہسن اور پانی ڈالیں
RCP00056,3,دال نرم ہونے تک پکائیں
RCP00056,4,ہموار بناوٹ کے لیے ہلکا سا بلینڈ کریں
RCP00056,5,کالی مرچ اور نمک شامل کریں
RCP00056,6,مزید 5 منٹ ہلکی آنچ پر پکائیں
RCP00056,7,گرم گرم پیش کریں
RCP00057,1,مکھن پگھلا کر پیاز فرائی کریں
RCP00057,2,سبزیاں شامل کریں
RCP00057,3,سبزیوں کی یخنی شامل کریں
RCP00057,4,سبزیاں گلنے تک پکائیں
RCP00057,5,ہموار ہونے تک بلینڈ کریں
RCP00057,6,دودھ اور کریم شامل کریں
RCP00057,7,کالی مرچ اور نمک شامل کریں
RCP00057,8,5 منٹ ہلکی آنچ پر پکائیں
RCP00058,1,گاجروں کو کدوکش کر لیں
RCP00058,2,گاجروں کو دودھ کے ساتھ پکائیں جب تک دودھ خشک نہ ہو جائے
RCP00058,3,چینی شامل کریں اور پکائیں
RCP00058,4,گھی اور الائچی شامل کریں
RCP00058,5,آمیزہ گاڑھا ہونے تک پکائیں
RCP00058,6,کھویا شامل کریں
RCP00058,7,بادام اور پستے سے سجا لیں
RCP00059,1,ڈبل روٹی کے کنارے کاٹ کر مثلث کی شکل میں کاٹ لیں
RCP00059,2,ڈبل روٹی کو سنہری ہونے تک تل لیں
RCP00059,3,دودھ کو ابال کر گاڑھا کر لیں
RCP00059,4,چینی، کریم اور الائچی شامل کریں
RCP00059,5,تلی ہوئی ڈبل روٹی ڈش میں سجائیں
RCP00059,6,گاڑھا دودھ ڈبل روٹی پر ڈالیں
RCP00059,7,بادام اور پستے سے سجا لیں
RCP00059,8,پیش کرنے سے پہلے ٹھنڈا کر لیں
RCP00060,1,چاول دھو کر 30 منٹ کے لیے بھگو دیں
RCP00060,2,دودھ میں چاول شامل کریں
RCP00060,3,چاول مکمل نرم ہونے تک ہلکی آنچ پر پکائیں
RCP00060,4,چینی اور الائچی شامل کریں
RCP00060,5,کھویا شامل کریں اور اچھی طرح ملائیں
RCP00060,6,کھیر کریمی اور گاڑھی ہونے تک پکائیں
RCP00060,7,بادام اور پستے سے سجا لیں
RCP00060,8,گرم یا ٹھنڈی پیش کریں
